logical,creative,social,leadership,practical,interest_text,career
5,2,3,5,4,I like genetics and want to work in this field,Biotech Scientist
4,5,2,2,3,I like chemistry and want to work in this field,Chemist
5,5,2,3,3,I like patients and want to work in this field,Doctor
3,5,5,3,3,I like academics and want to work in this field,Professor
3,3,5,3,3,I like experiments and want to work in this field,Scientist
4,5,4,3,2,I like mechanics and want to work in this field,Mechanical Engineer
3,3,2,4,4,I like medicine and want to work in this field,Pharmacist
3,3,2,2,4,I like dental care and want to work in this field,Dentist
5,3,4,3,5,I like analysis and want to work in this field,Business Analyst
3,3,5,2,2,I like robotics and want to work in this field,Electronics Engineer
4,4,4,3,2,I like papers and want to work in this field,Researcher
4,4,3,2,5,I like virtual reality and want to work in this field,AR VR Engineer
5,4,4,2,4,I like education and want to work in this field,Professor
5,3,4,4,3,I like machine learning and want to work in this field,AI Engineer
4,4,5,5,3,I like teeth and want to work in this field,Dentist
4,2,2,4,3,I like blockchain and want to work in this field,Blockchain Developer
4,5,4,3,2,I like metaverse and want to work in this field,AR VR Engineer
3,3,5,2,4,I like robotics and want to work in this field,Electronics Engineer
3,2,5,4,4,I like data and want to work in this field,Data Scientist
4,5,5,3,4,I like programming and want to work in this field,Software Engineer
3,3,5,5,2,I like programming and want to work in this field,Software Engineer
4,4,2,2,4,I like research and want to work in this field,Scientist
3,4,2,5,5,I like drugs and want to work in this field,Pharmacist
5,4,5,2,5,I like neural networks and want to work in this field,AI Engineer
4,5,3,5,4,I like hospital and want to work in this field,Nurse
3,3,4,3,4,I like stars and want to work in this field,Astrophysicist
3,4,3,4,3,I like drugs and want to work in this field,Pharmacist
5,2,5,5,2,I like unity and want to work in this field,Game Developer
5,5,5,4,5,I like crypto and want to work in this field,Blockchain Developer
