maths8,science8,english8,history8,geography8,maths9,science9,english9,history9,geography9,maths10,science10,english10,history10,geography10,logical,creative,social,leadership,practical,interest_text,stream
86,80,58,79,85,100,84,86,60,91,77,63,93,94,78,10,9,3,4,1,drawing,Arts
65,47,54,49,90,98,58,74,92,59,77,97,77,92,65,3,5,9,2,3,finance,Commerce
84,85,69,70,65,96,76,95,98,73,59,79,57,55,67,7,3,5,9,3,marketing,Commerce
40,73,44,50,42,92,90,74,54,65,41,78,56,41,93,2,9,8,8,6,finance,Commerce
69,73,70,78,56,84,62,73,79,60,60,60,99,56,70,2,10,2,5,5,biology,Science
92,62,73,76,52,50,43,93,47,96,92,67,92,53,78,7,6,5,6,4,engineering,Science
56,55,52,87,62,42,59,63,43,45,52,40,51,41,43,6,6,9,1,3,biology,Science
92,50,75,59,85,76,96,50,87,44,85,52,58,53,60,6,6,1,1,3,engineering,Science
74,47,66,88,99,67,68,67,72,40,88,65,54,79,68,2,8,1,7,8,technology,Science
43,71,78,53,63,71,94,100,78,55,65,68,66,96,46,7,5,2,2,7,accounting,Commerce
99,51,90,100,65,61,68,71,70,41,69,83,73,82,84,10,10,8,8,6,finance,Commerce
67,55,82,88,59,72,80,100,60,46,62,47,53,61,75,9,9,2,7,10,physics,Science
41,71,100,97,87,56,89,42,68,51,56,69,50,83,98,5,9,7,4,8,drawing,Arts
84,90,40,69,50,64,61,94,94,54,87,46,84,99,47,2,1,2,3,8,biology,Science
94,88,63,74,66,59,91,93,89,64,50,83,89,81,92,3,10,5,10,3,economics,Commerce
89,80,73,61,97,50,53,78,57,100,100,99,55,91,57,8,1,1,8,2,business,Commerce
57,49,92,43,84,87,92,55,58,86,54,55,66,82,54,2,3,7,1,7,physics,Science
95,78,82,100,64,82,88,85,52,76,58,100,85,46,45,3,7,5,1,1,physics,Science
77,63,85,70,98,81,80,65,67,52,90,42,60,66,70,10,6,8,6,7,finance,Commerce
82,76,70,62,77,58,63,57,54,85,63,100,90,60,51,5,9,5,5,4,marketing,Commerce
98,96,74,78,64,69,66,76,48,51,44,69,93,79,65,4,7,2,2,4,drawing,Arts
100,48,51,100,86,44,89,67,89,43,85,69,87,45,94,1,5,9,2,1,business,Commerce
73,52,52,44,85,41,52,52,91,64,42,77,52,42,77,4,9,10,4,2,literature,Arts
71,51,85,41,80,99,57,74,75,67,45,96,71,45,62,7,3,9,2,5,technology,Science
46,91,70,51,76,70,57,83,92,53,75,57,74,63,70,4,7,5,4,3,physics,Science
58,58,52,86,87,55,51,48,68,89,93,55,74,87,75,1,5,5,6,2,history,Arts
60,73,91,87,46,71,61,47,54,71,98,45,47,87,99,1,5,5,9,4,business,Commerce
55,65,98,44,49,65,72,59,47,86,58,55,59,97,62,9,3,8,8,6,drawing,Arts
89,87,49,81,53,79,77,76,60,47,80,62,67,80,67,3,6,8,6,6,music,Arts
40,69,91,97,97,56,40,44,89,66,100,51,81,52,43,4,1,1,7,9,economics,Commerce
54,98,67,80,99,58,83,79,70,52,50,45,69,68,57,7,5,10,9,3,music,Arts
64,83,70,60,71,71,72,45,97,57,96,90,100,99,82,4,9,10,4,3,physics,Science
53,74,80,97,43,62,66,76,81,50,52,47,68,82,56,3,2,5,9,2,technology,Science
82,42,77,81,44,69,51,88,87,49,53,99,64,93,89,3,2,5,3,2,psychology,Arts
91,84,40,75,41,61,94,97,68,87,94,49,46,53,87,8,6,4,4,3,literature,Arts
90,99,71,59,49,70,61,50,86,74,44,80,53,92,44,3,8,2,6,5,technology,Science
44,85,78,47,57,65,44,59,47,100,92,40,96,69,83,9,10,7,7,5,physics,Science
94,94,42,63,43,74,94,56,98,47,48,67,98,77,71,8,9,3,1,8,engineering,Science
100,95,65,65,81,72,63,94,78,59,93,81,57,91,86,7,1,7,6,7,psychology,Arts
42,85,94,100,42,59,40,46,96,70,92,97,55,74,97,4,9,7,1,2,technology,Science
49,61,68,100,52,60,69,52,43,90,63,45,54,70,89,10,7,2,9,9,marketing,Commerce
61,68,84,44,72,46,69,63,91,63,81,62,83,82,97,2,8,3,7,5,literature,Arts
95,84,92,93,65,65,82,61,45,44,52,93,60,81,46,2,3,8,6,1,business,Commerce
69,71,59,77,50,40,93,75,81,79,88,60,59,73,49,10,7,9,1,7,engineering,Science
99,95,66,78,75,88,45,88,49,76,81,41,82,73,59,7,3,7,1,9,engineering,Science
50,56,75,41,69,80,68,75,75,43,40,54,68,60,63,1,9,6,8,5,technology,Science
96,76,85,56,77,94,94,83,97,73,62,90,62,83,99,5,7,8,8,8,technology,Science
43,53,67,64,60,76,69,78,61,71,69,69,78,74,97,9,5,10,7,6,psychology,Arts
99,51,57,48,87,75,93,91,84,43,94,77,75,73,83,4,5,6,6,10,physics,Science
88,96,97,44,95,71,89,72,64,59,88,60,63,91,42,6,5,4,4,2,engineering,Science
71,70,98,42,82,43,50,64,82,52,40,99,70,94,85,2,2,5,10,5,psychology,Arts
85,61,49,67,62,95,100,67,57,80,98,72,48,92,54,2,7,8,7,4,physics,Science
90,53,96,70,84,47,98,45,50,58,82,40,52,82,69,7,10,1,1,5,music,Arts
57,93,78,47,74,80,46,91,90,83,81,41,49,71,82,2,9,3,5,9,finance,Commerce
100,68,69,78,95,57,76,69,81,77,79,41,96,97,88,1,6,1,9,6,economics,Commerce
70,51,79,58,79,72,58,87,65,58,57,45,51,64,61,10,1,2,5,10,physics,Science
62,55,61,43,75,59,55,53,63,90,93,49,53,47,83,8,1,4,5,10,psychology,Arts
41,56,60,74,41,49,87,84,59,40,79,44,100,80,60,2,2,2,4,7,psychology,Arts
56,72,99,92,45,79,46,91,43,41,59,92,48,90,91,4,5,5,8,10,engineering,Science
83,87,50,73,58,76,59,54,76,42,65,62,90,97,50,2,3,10,4,1,chemistry,Science
54,42,70,87,64,88,59,46,54,45,40,64,88,44,78,9,6,2,6,6,history,Arts
73,70,63,89,44,80,62,64,57,97,74,59,51,99,44,5,7,1,4,5,physics,Science
95,41,48,42,65,76,96,98,83,43,92,70,64,69,45,2,8,6,2,4,business,Commerce
46,57,81,42,53,92,50,49,97,59,51,47,58,62,62,4,9,1,9,1,literature,Arts
60,57,41,77,65,62,79,71,70,91,86,69,46,100,99,5,6,1,5,2,physics,Science
60,82,94,42,52,70,91,75,51,98,64,98,66,96,88,2,10,3,9,6,history,Arts
82,89,76,68,54,83,68,83,48,83,94,50,58,65,42,4,4,7,1,2,economics,Commerce
51,44,71,66,43,71,97,63,91,71,63,88,98,42,63,6,1,10,2,1,biology,Science
49,89,62,67,84,60,88,60,81,61,76,68,41,66,84,4,6,2,9,7,marketing,Commerce
84,72,44,57,69,72,97,60,82,83,89,43,96,76,68,2,10,8,5,1,drawing,Arts
87,44,78,100,63,46,82,89,98,72,74,50,83,93,62,8,10,7,6,3,history,Arts
74,58,83,90,62,45,59,93,75,54,91,70,43,73,45,7,9,2,2,3,music,Arts
88,89,64,46,90,57,91,59,82,80,80,47,81,71,90,5,6,5,4,5,drawing,Arts
59,63,67,89,74,68,65,73,55,69,93,93,46,56,96,3,2,3,5,5,business,Commerce
79,68,65,50,43,90,95,66,73,79,61,62,70,44,75,2,6,3,8,1,physics,Science
71,43,63,67,54,100,82,66,51,48,77,83,43,78,99,9,8,5,3,3,chemistry,Science
100,63,71,90,44,73,75,90,90,59,43,59,43,98,83,5,3,1,5,1,marketing,Commerce
87,100,58,92,92,77,51,73,91,89,92,40,47,42,67,10,6,3,5,9,history,Arts
62,68,64,65,55,49,69,75,88,58,75,54,59,81,78,2,3,2,9,8,marketing,Commerce
88,42,42,60,76,68,67,90,56,82,40,86,55,49,80,10,5,8,7,8,physics,Science
68,43,51,91,51,84,64,83,78,68,55,61,73,70,81,2,4,2,3,10,economics,Commerce
65,80,41,89,63,57,79,75,84,84,61,57,44,94,65,10,8,10,6,8,drawing,Arts
97,65,55,71,66,73,87,48,96,97,93,98,81,97,98,1,8,1,9,3,literature,Arts
74,96,82,51,52,80,76,61,44,61,73,94,67,92,90,10,4,5,2,5,finance,Commerce
45,58,51,93,62,93,50,45,71,61,96,59,79,84,72,10,6,6,8,7,literature,Arts
67,90,93,94,52,92,59,45,94,86,90,55,43,100,87,5,1,4,8,1,drawing,Arts
81,40,100,60,67,50,59,77,86,58,89,85,46,58,71,6,9,4,8,5,drawing,Arts
79,40,70,72,55,62,92,59,62,93,93,75,73,83,70,2,3,6,7,1,marketing,Commerce
67,83,53,89,97,81,95,52,64,41,76,50,86,54,100,10,10,5,1,3,economics,Commerce
60,96,43,77,66,94,87,69,51,43,54,98,91,41,52,2,3,10,7,1,marketing,Commerce
41,43,68,96,77,55,59,57,94,50,80,56,73,47,79,4,9,10,3,10,music,Arts
70,90,55,66,95,99,86,84,66,78,62,74,64,54,71,5,5,1,3,7,music,Arts
49,88,67,68,85,68,58,83,82,45,75,57,90,49,99,1,7,5,6,6,music,Arts
66,90,97,55,60,66,82,87,86,81,88,83,56,41,80,9,9,9,1,6,finance,Commerce
94,98,46,63,64,94,72,91,72,71,58,62,96,41,83,7,5,1,10,9,accounting,Commerce
47,69,73,70,70,54,96,72,58,48,65,53,87,79,65,7,5,1,8,10,finance,Commerce
65,95,95,97,76,76,92,96,45,62,81,73,82,77,91,3,6,4,5,9,accounting,Commerce
57,44,75,87,86,49,86,77,58,50,98,66,65,61,83,7,4,7,10,2,engineering,Science
67,45,98,86,82,62,63,86,74,67,78,94,86,44,93,4,3,4,7,7,biology,Science
47,71,41,87,90,67,77,91,56,80,95,72,64,80,44,6,7,10,9,2,accounting,Commerce
93,43,90,66,70,67,62,48,45,52,86,47,81,57,49,9,4,8,10,4,history,Arts
65,77,78,81,94,85,68,100,100,63,90,86,60,73,73,8,4,4,1,5,chemistry,Science
47,68,90,55,58,90,41,90,74,56,71,86,52,95,79,10,3,4,6,1,marketing,Commerce
45,52,75,62,99,81,83,42,97,68,65,62,78,64,48,2,2,5,4,1,engineering,Science
64,62,62,65,41,58,48,89,54,84,76,60,91,83,68,6,10,6,3,4,history,Arts
59,69,58,94,94,44,73,77,53,100,61,47,65,91,90,2,3,7,8,6,psychology,Arts
89,75,67,48,84,62,82,65,65,56,74,44,57,80,71,9,2,8,5,3,marketing,Commerce
75,52,99,97,64,58,40,47,55,86,62,55,72,99,78,9,8,6,1,2,technology,Science
40,81,58,78,43,90,51,88,55,68,71,68,73,71,42,2,10,6,10,5,biology,Science
91,59,62,93,84,72,74,46,64,83,51,74,92,93,46,1,5,3,9,6,music,Arts
98,67,53,71,87,84,60,40,59,83,78,80,40,97,50,8,1,5,5,7,history,Arts
62,78,89,47,74,49,93,69,50,85,99,60,62,62,77,9,10,3,4,8,history,Arts
41,83,44,56,65,82,96,81,97,60,59,56,73,78,48,6,9,7,5,5,finance,Commerce
64,89,96,85,56,90,55,77,100,73,54,64,84,45,90,10,3,3,7,7,finance,Commerce
86,69,82,81,61,56,47,81,86,99,75,83,80,73,99,7,9,1,8,6,accounting,Commerce
92,81,83,91,52,53,64,100,61,61,80,47,51,86,48,2,6,8,5,8,engineering,Science
91,79,82,51,47,71,56,46,63,62,85,63,46,45,63,6,1,7,5,1,chemistry,Science
40,92,96,88,84,79,88,65,66,45,91,44,43,89,90,7,6,6,9,1,biology,Science
95,71,67,100,71,58,51,41,80,41,77,68,64,57,79,4,8,6,7,1,chemistry,Science
94,93,63,75,84,78,47,59,69,73,92,76,61,77,77,4,2,4,2,6,accounting,Commerce
92,58,86,90,63,41,54,86,85,85,68,78,45,62,98,2,6,9,8,10,marketing,Commerce
67,89,41,76,51,70,75,64,100,57,60,75,51,73,66,4,1,2,9,3,technology,Science
49,55,60,96,88,47,99,100,81,86,53,41,74,59,98,9,4,8,6,6,economics,Commerce
85,69,77,66,53,56,68,96,59,61,60,54,80,42,48,2,8,3,10,5,physics,Science
92,59,86,74,62,72,43,63,67,48,54,43,53,85,67,9,3,3,6,4,drawing,Arts
79,81,85,42,42,65,92,89,82,63,93,64,52,44,60,1,3,8,3,2,history,Arts
52,61,55,93,72,57,54,78,96,95,80,71,44,65,42,2,10,8,1,8,economics,Commerce
58,46,70,65,89,55,49,77,42,84,57,67,61,68,76,1,4,1,1,4,history,Arts
99,51,66,56,82,64,53,84,40,43,40,65,97,62,78,10,9,7,9,5,music,Arts
89,40,44,67,84,47,69,41,64,82,71,59,54,90,59,6,2,1,4,8,marketing,Commerce
80,82,77,40,84,82,71,51,94,91,67,99,98,98,74,10,9,5,9,10,accounting,Commerce
41,79,56,42,50,82,64,99,54,84,66,43,73,45,73,5,4,10,6,4,physics,Science
86,83,72,74,71,81,100,87,44,77,61,90,94,40,66,5,9,10,8,3,technology,Science
55,78,46,64,82,100,78,53,48,99,81,90,44,55,58,1,6,9,6,3,finance,Commerce
98,97,95,80,68,78,88,61,94,94,57,50,76,83,44,9,5,2,10,8,literature,Arts
40,87,100,61,83,79,85,85,62,73,40,89,89,81,42,9,1,10,5,1,chemistry,Science
99,52,72,86,88,69,59,89,41,55,91,63,76,41,45,10,10,6,10,6,physics,Science
60,76,44,51,96,79,89,93,49,95,64,72,76,57,76,4,5,7,7,5,technology,Science
62,75,49,83,68,50,87,67,72,40,100,60,98,85,82,2,4,5,7,4,economics,Commerce
94,62,50,41,96,49,71,55,58,51,92,42,94,79,88,4,3,2,4,9,technology,Science
49,61,41,41,78,68,87,75,83,55,43,92,49,52,69,9,4,3,3,8,chemistry,Science
78,78,50,46,94,43,99,57,76,85,82,90,95,75,99,8,10,7,10,9,biology,Science
87,87,64,65,76,85,64,69,63,84,45,83,40,98,69,2,2,5,1,4,accounting,Commerce
67,45,67,73,43,81,83,82,54,87,100,57,83,61,96,8,6,10,10,6,finance,Commerce
60,66,50,71,44,78,52,49,65,55,95,50,46,72,57,8,1,2,2,8,history,Arts
96,65,79,64,73,50,47,54,71,59,67,52,45,46,56,6,5,7,2,9,engineering,Science
45,72,66,54,72,99,45,100,64,86,81,86,77,63,91,7,9,8,7,2,marketing,Commerce
45,54,41,71,93,48,68,94,91,97,42,48,65,55,68,9,5,2,6,2,literature,Arts
48,72,95,63,43,97,71,71,87,53,80,60,77,78,95,7,1,9,6,4,engineering,Science
72,85,58,64,69,52,64,86,68,74,60,93,41,61,60,5,5,1,3,7,music,Arts
84,71,85,84,43,46,85,77,90,79,69,52,94,95,40,9,4,9,2,8,biology,Science
86,64,54,65,62,78,91,75,89,48,69,93,92,42,100,4,8,5,6,9,history,Arts
77,99,86,81,79,89,59,57,71,43,87,84,83,69,91,10,3,9,5,5,biology,Science
42,44,55,80,70,94,67,58,90,60,77,97,91,84,49,7,1,8,1,10,finance,Commerce
78,86,42,66,83,59,40,100,83,49,42,48,90,94,48,8,3,5,9,4,psychology,Arts
91,94,74,46,68,42,53,76,98,83,90,96,87,98,66,6,3,6,4,4,finance,Commerce
89,59,85,66,79,44,73,88,86,67,44,56,40,81,87,9,4,7,10,7,physics,Science
61,58,90,63,63,40,100,85,49,98,100,83,97,93,93,5,2,5,7,5,literature,Arts
42,80,74,51,43,49,78,85,44,57,70,59,54,64,95,10,2,10,9,6,marketing,Commerce
81,100,52,64,40,75,54,83,44,97,47,53,62,81,87,6,1,1,5,9,marketing,Commerce
72,93,79,62,72,40,76,46,53,68,56,99,88,45,86,5,9,9,4,10,finance,Commerce
44,70,81,43,92,42,44,48,89,85,47,73,97,60,89,7,6,2,4,10,finance,Commerce
58,47,93,44,57,93,54,50,58,43,61,92,54,42,85,7,10,4,7,2,literature,Arts
65,47,64,77,64,89,64,46,86,69,76,44,83,96,77,3,3,1,6,8,psychology,Arts
56,97,92,94,70,70,57,84,48,100,75,82,74,58,77,10,10,10,1,9,marketing,Commerce
78,60,89,91,69,54,77,82,66,70,73,86,42,70,86,4,4,8,2,5,psychology,Arts
79,57,98,92,61,70,99,75,96,92,56,80,92,90,66,10,9,8,7,6,music,Arts
94,43,43,55,50,40,92,68,99,62,69,94,58,42,44,4,2,1,2,2,physics,Science
49,71,98,42,83,92,80,56,93,73,91,100,95,90,43,7,9,1,4,8,engineering,Science
97,98,85,63,76,90,63,62,58,59,42,68,88,41,55,3,9,2,7,1,biology,Science
88,77,59,58,55,82,71,81,86,66,70,68,80,53,70,2,2,4,7,6,technology,Science
99,98,63,80,49,78,48,98,51,54,92,56,95,48,47,1,7,6,4,10,literature,Arts
94,74,85,60,70,56,52,69,43,68,45,40,83,86,69,1,3,7,7,9,business,Commerce
93,61,45,50,62,90,82,76,58,54,44,40,95,67,75,6,5,3,3,6,business,Commerce
91,87,44,50,92,54,72,47,79,42,96,84,97,74,98,5,9,6,8,10,psychology,Arts
64,59,85,58,41,46,63,88,95,95,49,67,85,41,43,7,5,5,9,9,chemistry,Science
66,74,47,68,91,96,73,53,84,48,64,94,47,63,83,9,7,4,5,4,business,Commerce
92,79,69,64,57,66,45,64,79,48,79,59,57,66,51,10,1,6,8,5,finance,Commerce
42,56,67,40,90,91,60,84,83,98,72,66,81,52,58,6,6,1,10,4,business,Commerce
64,75,73,60,98,44,83,80,50,41,48,65,71,87,79,9,10,4,3,4,chemistry,Science
79,87,79,52,81,84,81,57,90,52,44,44,85,50,61,5,8,7,5,7,marketing,Commerce
73,91,53,88,52,56,48,85,100,65,59,93,78,80,97,2,3,4,10,4,engineering,Science
83,49,48,94,46,43,44,56,82,77,46,83,63,55,79,9,8,3,4,9,business,Commerce
47,57,47,86,76,76,96,66,52,75,67,63,71,77,80,7,5,5,7,3,business,Commerce
41,72,96,90,49,40,98,59,43,76,96,50,42,70,64,2,1,9,2,5,business,Commerce
98,54,54,73,57,61,57,74,61,80,41,71,74,68,92,9,2,1,7,3,engineering,Science
71,81,69,84,45,89,75,92,42,40,61,92,60,74,59,5,9,5,1,1,chemistry,Science
65,84,49,68,99,67,48,44,72,89,81,96,79,89,65,1,4,6,1,3,literature,Arts
99,46,91,80,70,58,91,98,62,62,48,71,71,45,52,9,5,9,2,9,physics,Science
96,95,56,47,81,72,63,46,76,96,56,90,67,72,83,8,7,8,6,6,literature,Arts
43,52,40,55,77,88,77,81,93,54,100,84,88,97,85,7,8,3,7,2,business,Commerce
77,40,77,55,94,87,78,65,88,99,84,95,49,51,49,5,9,7,1,1,economics,Commerce
51,94,64,42,43,99,79,71,66,89,55,47,58,40,60,10,1,4,2,10,marketing,Commerce
67,60,79,72,97,77,72,69,82,65,96,83,50,86,80,6,10,1,6,7,music,Arts
46,56,53,55,79,91,84,49,72,54,65,67,71,56,57,8,9,10,4,6,business,Commerce
83,62,74,80,91,53,46,41,62,85,53,66,68,56,67,3,5,1,7,3,history,Arts
91,96,40,52,84,57,93,90,94,88,60,46,100,96,97,7,6,1,3,8,physics,Science
99,62,76,59,51,59,84,85,57,66,97,43,53,43,63,6,7,6,7,7,business,Commerce
50,66,92,44,84,86,75,60,81,80,52,62,63,99,83,1,2,4,3,1,drawing,Arts
73,50,73,60,73,58,59,68,57,84,85,92,41,89,95,10,8,4,5,5,business,Commerce
46,60,90,58,94,81,70,77,89,72,78,41,76,59,82,5,6,10,9,1,chemistry,Science
70,85,89,49,86,52,76,63,45,97,45,70,47,47,75,9,7,6,4,6,marketing,Commerce
42,97,81,55,93,51,63,94,97,62,91,76,62,98,62,8,10,3,5,10,biology,Science
87,81,84,93,94,66,47,92,60,78,85,89,78,73,67,8,4,8,2,1,psychology,Arts
57,87,99,89,40,80,46,65,72,59,60,79,76,63,92,6,5,3,6,4,drawing,Arts
77,70,90,81,86,98,81,50,61,69,61,82,89,54,61,10,7,3,8,7,business,Commerce
61,46,69,52,58,64,48,57,44,74,46,54,72,41,57,3,8,3,4,3,marketing,Commerce
